ou_code,yjs_name,pcc_area,yjb_country,yjb_region,yot_region,2018,2019,2020,2021
F00MA00,Manchester,Greater Manchester,England,North West,North West,47861,49109,50750,56271
F00ME00,Medway,Kent,England,South East,South East,27033,27546,28170,28252
F00MN00,Merton,London,England,London,London,17948,18326,18987,20322
F00MK00,Milton Keynes,Thames Valley,England,South East,South East,27995,29032,30166,31768
F00TM00,Monmouthshire and Torfaen,Gwent,Wales,Wales,Wales,16705,16941,17205,17090
F00NP00,Neath Port Talbot,South Wales,Wales,Wales,Wales,12428,12524,12780,13318
F00NT00,Newcastle upon Tyne,Northumbria,England,North East,North East,23985,24419,25164,25350
F00NE00,Newham,London,England,London,London,33347,33356,33524,36561
F00NO00,Newport,Gwent,Wales,Wales,Wales,14552,14857,15184,15890
F00NK00,Norfolk,Norfolk,England,Eastern,Eastern,74021,75384,77435,76849
F00NL00,North East Lincolnshire,Humberside,England,Yorkshire,Yorkshire,14732,15092,15475,15151
F00NR00,North Lincolnshire,Humberside,England,Yorkshire,Yorkshire,15932,16273,16701,16056
F00NS00,North Somerset,Avon and Somerset,England,South West,South West,19004,19364,19823,20030
F00NY00,North Tyneside,Northumbria,England,North East,North East,17921,18359,18833,19018
F00NX00,North Yorkshire,North Yorkshire,England,Yorkshire,Yorkshire,54127,54685,55879,54910
F00NZ00,Northamptonshire,Northamptonshire,England,East Midlands,East Midlands,72344,73987,76141,78386
F00NH00,Northumberland,Northumbria,England,North East,North East,27126,27395,27689,27576
F00NC00,Nottingham,Nottinghamshire,England,East Midlands,East Midlands,27639,28291,29002,29032
F00NG00,Nottinghamshire,Nottinghamshire,England,East Midlands,East Midlands,72037,73622,75871,74578
F00OL00,Oldham,Greater Manchester,England,North West,North West,25611,25992,26233,28498
F00OX00,Oxfordshire,Thames Valley,England,South East,South East,62607,63775,65746,67760
F00PE00,Pembrokeshire,Dyfed Powys,Wales,Wales,Wales,10989,11071,11391,11233
F00PB00,Peterborough,Cambridgeshire,England,Eastern,Eastern,19504,20211,21054,23866
F00PY00,Plymouth,Devon and Cornwall,England,South West,South West,21752,22272,22963,23416
F00PO00,Portsmouth,Hampshire,England,South Central,South East,18124,18548,19015,18087
F00MP00,Powys,Dyfed Powys,Wales,Wales,Wales,11242,11268,11314,11232
F00RE00,Reading,Thames Valley,England,South East,South East,14250,14585,15099,15706
F00RD00,Redbridge,London,England,London,London,31738,32149,32561,33533
F00RT00,Rotherham,South Yorkshire,England,Yorkshire,Yorkshire,24634,25157,25617,25821
F00SA00,Salford,Greater Manchester,England,North West,North West,22207,22806,23561,24749
F00SN00,Sandwell,West Midlands,England,West Midlands,West Midlands,33781,34796,35699,38434
F00SE00,Sefton,Merseyside,England,North West,North West,23745,23963,24476,24412
F00SH00,Sheffield,South Yorkshire,England,Yorkshire,Yorkshire,50361,51524,52792,50388
F00SL00,Slough,Thames Valley,England,South East,South East,16845,17393,18168,19460
F00SO00,Solihull,West Midlands,England,West Midlands,West Midlands,20858,21282,21731,21629
F00SM00,Somerset,Avon and Somerset,England,South West,South West,49514,50492,51521,51985
F00SG00,South Gloucestershire,Avon and Somerset,England,South West,South West,25014,25500,26272,26134
F00SS00,South Tees,Cleveland,England,North East,North East,25269,25641,26222,27478
F00SY00,South Tyneside,Northumbria,England,North East,North East,12858,13142,13397,13397
F00SP00,Southampton,Hampshire,England,South Central,South East,19591,20279,21074,21337
F00SD00,Southend on Sea,Essex,England,Eastern,Eastern,16520,16931,17354,17074
F00SW00,Southwark,London,England,London,London,24912,25438,26227,25285
F00SZ00,St Helens,Merseyside,England,North West,North West,15701,15944,16313,16768
F00SF00,Staffordshire,Staffordshire,England,West Midlands,West Midlands,76173,77134,78555,77798
F00SX00,Stockport,Greater Manchester,England,North West,North West,27026,27589,28174,27954
F00SQ00,Stockton on Tees,Cleveland,England,North East,North East,18739,19342,20023,20203
F00SI00,Stoke on Trent,Staffordshire,England,West Midlands,West Midlands,23271,23790,24319,26014
F00SU00,Suffolk,Suffolk,England,Eastern,Eastern,67256,68595,69795,68395
F00SR00,Sunderland,Northumbria,England,North East,North East,23607,23986,24515,25066
F00SC00,Surrey,Surrey,England,South East,South East,114104,116528,119631,120532
F00SJ00,Sutton,London,England,London,London,19681,20364,21278,22144
F00SK00,Swansea,South Wales,Wales,Wales,Wales,20961,21113,21338,21416
F00SV00,Swindon,Wiltshire,England,South West,South West,20663,20976,21580,22737
F00TA00,Tameside,Greater Manchester,England,North West,North West,20737,21202,21771,22915
F00TH00,Thurrock,Essex,England,Eastern,Eastern,17614,18220,18747,19289
F00TO00,Torbay,Devon and Cornwall,England,South West,South West,11055,11157,11454,11928
F00TC00,Tower Hamlets and City of London,London,England,London,London,28247,29330,30659,27671
F00TR00,Trafford,Greater Manchester,England,North West,North West,24723,25426,26005,25484
F00VA00,Vale of Glamorgan,South Wales,Wales,Wales,Wales,12204,12462,12862,12883
F00WA00,Wakefield,West Yorkshire,England,Yorkshire,Yorkshire,30290,31020,31960,32721
F00WL00,Walsall,West Midlands,England,West Midlands,West Midlands,28774,29477,30005,30659
